Label,x,y,z
2121,98.61515,50.770992,156.924957
2122,98.615326,50.771088,156.61235
2123,98.615204,50.771027,156.819321
2124,98.615242,50.771046,156.757309
2125,98.615517,50.771202,156.300079
2126,98.61554,50.771217,156.274643
2127,98.615395,50.771133,156.498825
2128,98.615379,50.771122,156.522995
2129,98.615555,50.771225,156.249191
2130,98.61557,50.771236,156.22374
2131,98.615425,50.771149,156.450439
2132,98.61541,50.771141,156.47464
2133,98.615273,50.771061,156.700378
2134,98.615288,50.771072,156.67746
2135,98.615158,50.770996,156.90477
2136,98.615143,50.770988,156.926407
2137,98.615242,50.771046,156.746201
2138,98.615257,50.771049,156.723282
2139,98.615135,50.770981,156.948059
2140,98.615112,50.770973,156.969696
2141,98.622986,50.775528,150.411285
2142,98.623505,50.775837,150.182068
2143,98.621826,50.774864,151.070724
2144,98.621399,50.774612,151.281494
2145,98.623474,50.775833,150.215927
2146,98.624725,50.776554,149.6129
2147,98.623932,50.776093,149.990829
2148,98.624886,50.776653,149.551025
2149,98.625153,50.776814,149.434097
2150,98.624168,50.776234,149.897827
2151,98.623917,50.776089,150.010162
2152,98.622993,50.775555,150.470627
2153,98.623215,50.775688,150.362915
2154,98.622322,50.775169,150.829376
2155,98.622124,50.775047,150.932434
2156,98.621758,50.77483,151.127823
2157,98.622871,50.775482,150.521378
2158,98.622169,50.77507,150.894852
2159,98.620277,50.773968,152.014481
2160,98.620308,50.773987,151.988693
2161,98.621216,50.774517,151.435028
2162,98.620659,50.774189,151.773544
2163,98.6213,50.77457,151.395584
2164,98.621483,50.774673,151.297195
2165,98.620506,50.774109,151.875931
2166,98.620605,50.77417,151.813492
2167,98.620811,50.774288,151.688095
2168,98.620529,50.774117,151.860077
2169,98.619591,50.773575,152.466537
2170,98.620056,50.773846,152.155533
2171,98.619774,50.773682,152.340683
2172,98.620079,50.773861,152.141617
2173,98.620148,50.773907,152.096558
2174,98.619781,50.773693,152.332794
2175,98.61972,50.773655,152.376648
2176,98.619377,50.773453,152.61203
2177,98.619446,50.773491,152.569366
2178,98.619102,50.773293,152.806305
2179,98.619041,50.773258,152.847778
2180,98.618935,50.773197,152.921341
2181,98.618965,50.773212,152.899109
2182,98.619354,50.773438,152.623062
2183,98.619118,50.7733,152.793442
2184,98.619522,50.773529,152.503754
2185,98.619659,50.773613,152.414825
2186,98.618996,50.773228,152.877213
2187,98.618881,50.773155,152.961349
2188,98.619995,50.773796,152.156265
2189,98.620331,50.773998,151.964233
2190,98.618675,50.773041,153.106628
2191,98.618713,50.77306,153.07045
2192,98.619453,50.773495,152.53331
2193,98.618996,50.773224,152.864014
2194,98.618744,50.773071,153.035675
2195,98.629128,50.77911,147.733078
2196,98.632263,50.78093,146.585342
2197,98.630066,50.779648,147.353561
2198,98.633057,50.781403,146.375214
2199,98.634071,50.781994,146.074921
2200,98.631363,50.780426,146.979111
2201,98.630501,50.779911,147.262054
2202,98.628143,50.778542,148.153915
2203,98.628891,50.77898,147.888611
2204,98.626038,50.777325,149.038818
2205,98.626465,50.777573,148.873886
2206,98.626976,50.777866,148.650513
2207,98.625984,50.777287,149.050842
2208,98.625145,50.776794,149.402405
2209,98.624962,50.776676,149.448929
2210,98.627602,50.778217,148.321777
2211,98.626015,50.777294,148.993225
2212,98.640137,50.785496,144.195648
2213,98.644554,50.788067,143.018753
2214,98.641266,50.786148,143.847977
2215,98.646004,50.788925,142.731262
2216,98.647713,50.789928,142.361496
2217,98.643913,50.78772,143.286743
2218,98.642395,50.786831,143.639465
2219,98.63903,50.784866,144.553101
2220,98.640366,50.785656,144.217697
2221,98.63707,50.783737,145.154373
2222,98.635902,50.783051,145.472153
2223,98.634117,50.782001,145.98912
2224,98.637947,50.784229,144.798965
2225,98.635193,50.782623,145.61171
2226,98.657394,50.795528,140.139267
2227,98.659119,50.796551,139.876907
2228,98.662498,50.798523,139.305206
2229,98.664093,50.79945,138.972321
2230,98.65419,50.793682,140.880157
2231,98.656334,50.794941,140.476288
2232,98.651848,50.792332,141.424606
2233,98.649933,50.791206,141.811417
2234,98.647095,50.789547,142.411209
2235,98.652313,50.792576,141.203674
2236,98.648338,50.790264,142.070953
2237,98.677582,50.807259,136.530258
2238,98.68502,50.811611,135.543533
2239,98.67305,50.804657,137.412903
2240,98.666885,50.801041,138.335876
2241,98.703033,50.822052,132.911377
2242,98.713455,50.828148,131.802307
2243,98.698456,50.819427,133.673233
2244,98.689621,50.814255,134.722
2245,98.734482,50.840332,129.282104
2246,98.748611,50.848579,128.057922
2247,98.730148,50.837849,129.930435
2248,98.717964,50.83073,131.097992
2249,98.772774,50.862583,125.641899
2250,98.791389,50.873459,124.310196
2251,98.76899,50.860432,126.184387
2252,98.752716,50.850933,127.463303
2253,98.818848,50.88937,121.990219
2254,98.842888,50.903397,120.559052
2255,98.815994,50.887764,122.434967
